dest_airport_seq_ID,dest_city_name,most_common_origin_apt,most_common_origin_city,most_common_origin_state,PC1,PC2,PC3,PC4,PC5
1426204,"Palm Springs, CA",1477104,"San Francisco, CA",CA,0.6031204614286343,-0.024848201186877188,-0.5768413514768991,0.1181501556943288,0.15118336218597866
1486903,"Salt Lake City, UT",1129202,"Denver, CO",CA,-13.48765363379832,0.7253330691809787,0.32543125101260256,-0.0014761597496978024,-0.03540697401367216
1350202,"Montrose/Delta, CO",1129806,"Dallas/Fort Worth, TX",TX,2.522368367971739,-0.9576978866330054,-0.895846034099135,0.9092398398531423,0.05017572517694584
1275804,"Kona, HI",1217305,"Honolulu, HI",HI,0.747243953755944,2.583010048850918,0.8070656631347839,-0.13336932481763705,0.08028474014238464
1198603,"Grand Rapids, MI",1393007,"Chicago, IL",IL,0.29089264356893035,-1.1487673745283788,-1.147895694308133,0.412444751008016,0.25066410286936175
1199603,"Greer, SC",1039707,"Atlanta, GA",GA,0.861566034980224,0.6642313990773817,-0.3412229731706571,-0.5997560293865358,0.0660820917504018
1298202,"Lihue, HI",1217305,"Honolulu, HI",HI,0.8598309654433988,2.6565806855004688,0.8236051551373249,-0.5056411354450148,0.11961090883970438
1217305,"Honolulu, HI",1383002,"Kahului, HI",HI,-4.066926075959701,1.657216222345252,0.46153586997944834,-0.15476041982637098,0.123033348152406
1430705,"Providence, RI",1127805,"Washington, DC",FL,0.5384350033860655,0.5247438318231443,-0.3415053092165473,0.02285387498877651,-0.04094340395348554
1357702,"Myrtle Beach, SC",1105703,"Charlotte, NC",NC,1.9371680296218305,1.9457958884654876,0.18370665403663305,-1.2013198637687839,0.02846942569492791
1329604,"Manchester, NH",1082106,"Baltimore, MD",MD,1.8804633289363604,0.58707252469998,-0.5292893203949369,-0.9492469131250698,0.21184685504154802
1025702,"Albany, NY",1082106,"Baltimore, MD",FL,1.244930378940516,-0.3433664223256185,-0.8082734726486088,0.02003492786710733,0.16031711885615446
1209402,"Hayden, CO",1129806,"Dallas/Fort Worth, TX",TX,2.4320200309770126,-0.3245390377500591,-0.4566440026998584,1.3847809049199615,-0.08075407547645258
1419306,"Pensacola, FL",1039707,"Atlanta, GA",TX,1.399276128331652,-0.013360425001024792,-0.9170434022769423,-1.5488244064498806,0.5029267490189887
1163807,"Fresno, CA",1289208,"Los Angeles, CA",CA,1.2264157077835058,0.29352564294661937,-0.4802080327134999,0.191259014723122,0.03125701748170819
1502704,"Christiansted, VI",1330303,"Miami, FL",FL,2.855530861557325,0.5851314119609867,-0.6193802440632018,-2.0452880359952217,0.37079845662576644
1110902,"Colorado Springs, CO",1129202,"Denver, CO",CO,1.6853893896631964,-0.2863697020221578,-0.776638789549719,0.6087349858580523,0.03441728407931955
1154005,"El Paso, TX",1129806,"Dallas/Fort Worth, TX",TX,0.6146001767730983,0.7634560239252614,-0.2669189942004069,-0.8586897310743383,0.10473075153548271
1040805,"Appleton, WI",1348702,"Minneapolis, MN",MN,2.169226878551564,-0.741920376335835,-0.45709647693396044,3.25238244327325,-0.22544858524132166
1496002,"Wichita Falls, TX",1129806,"Dallas/Fort Worth, TX",TX,2.860751101958611,2.1302594546498366,-0.10158401087347424,-3.1125455859031668,0.5431247978828013
1507402,"Stillwater, OK",1129806,"Dallas/Fort Worth, TX",TX,2.8764024527693244,3.5873379065759243,0.6874387693482752,-3.3365783607322075,0.2359347969450718
1481402,"Shreveport, LA",1129806,"Dallas/Fort Worth, TX",TX,2.0840598490496034,-0.34685423375794466,-1.0334109223758368,-0.814219850533377,0.34883127392017366
1163703,"Fargo, ND",1348702,"Minneapolis, MN",MN,2.176124447542259,-0.8258378283707649,-0.9879912637037382,0.554411912096666,0.20617085553791112
1198002,"Grand Island, NE",1129806,"Dallas/Fort Worth, TX",TX,2.823027241854091,0.9676507179350176,-0.47682226038591097,-1.9078060136529682,0.4005277711815282
1325602,"Mission/McAllen/Edinburg, TX",1129806,"Dallas/Fort Worth, TX",TX,2.2746410790690184,0.636246992829726,-0.6005199981582174,-1.5146317807124305,0.335180363915865
1198202,"Killeen, TX",1129806,"Dallas/Fort Worth, TX",TX,2.57986018241023,0.7025084837040165,-0.7099081555015594,-2.5381744258481915,0.5923518177765275
1529502,"Toledo, OH",1393007,"Chicago, IL",IL,2.6839073284764035,0.07314473654352616,-0.8168201693209398,-1.342926754635769,0.36553149208489183
1299206,"Little Rock, AR",1129806,"Dallas/Fort Worth, TX",TX,1.1451016270372425,0.8696579565370809,-0.3613373716033421,-1.0383553450281338,0.19947224422388463
1291503,"Lake Charles, LA",1226603,"Houston, TX",TX,2.69128412043741,1.498144547835781,-0.2662607588687521,-1.9180046642288913,0.33097717326831877
1127402,"Dubuque, IA",1393007,"Chicago, IL",IL,2.8668991595979274,-2.2810900104834175,-1.9870718960234528,-0.7641305610946068,0.6835449859096442
1504803,"Sioux City, IA",1393007,"Chicago, IL",IL,2.702611149801906,1.5713968188775813,0.021872241671089813,-0.7820629342358127,0.08693057633981105
1182304,"Fort Wayne, IN",1393007,"Chicago, IL",IL,1.9108954605645743,-1.1598237210380269,-1.1256611095784748,1.532260344963436,0.017716843809084018
1524906,"Tallahassee, FL",1039707,"Atlanta, GA",GA,2.1101061397430456,0.9744455990938061,-0.3756575933009767,-1.4840656529331184,0.2682541704557986
1288403,"Lansing, MI",1143302,"Detroit, MI",MI,2.4358952598045076,-0.3757321756352518,-0.5534752869159262,2.2132714452565705,-0.15720565971649098
1541106,"Tyler, TX",1129806,"Dallas/Fort Worth, TX",TX,2.86783088025148,0.32048374818621833,-1.0789681363141002,-3.2159304174639636,0.9354700594230061
1484202,"San Angelo, TX",1129806,"Dallas/Fort Worth, TX",TX,2.7880132110283613,0.36082460888453466,-0.8741526444342013,-2.5010663588464257,0.6360527869041964
1106702,"Champaign/Urbana, IL",1393007,"Chicago, IL",IL,2.6843906011087526,-3.5977231258357323,-2.556231738338875,0.04622164789954064,0.6591250391735028
1432105,"Portland, ME",1127805,"Washington, DC",NY,1.6624175531537548,-0.20070015818989806,-0.7350052186508991,0.8112990387287333,0.0059790737075983745
1027903,"Amarillo, TX",1129806,"Dallas/Fort Worth, TX",TX,2.2755313643327684,0.2647465617112596,-0.7788412398229351,-1.6672450661140932,0.36071311722849875
1307605,"La Crosse, WI",1393007,"Chicago, IL",IL,2.5654591915527116,2.028745008514218,0.987928197552581,1.6718155986690153,-0.2856426798943303
1072804,"Beaumont/Port Arthur, TX",1129806,"Dallas/Fort Worth, TX",TX,2.889091429124308,-0.11119139358486632,-1.186678527499238,-2.4094930230809015,0.83077137555552
1457405,"Roanoke, VA",1039707,"Atlanta, GA",GA,2.600836350004869,0.8694832569923776,-0.4314962940726724,-1.3020712783186408,0.2889068769352023
1046902,"Kalamazoo, MI",1393007,"Chicago, IL",IL,2.616274978231125,0.13529830581391683,-0.18451331326571516,1.864536514507496,-0.12484893632514428
1068502,"Bloomington/Normal, IL",1039707,"Atlanta, GA",GA,2.5399963765794253,0.5778023735255016,-0.6002611090924072,-0.8511230027035656,0.34505071317446795
1289102,"Lawton/Fort Sill, OK",1129806,"Dallas/Fort Worth, TX",TX,2.911863996771418,-2.887755649301026,-2.6775269356990328,-1.2015824931843055,1.1100531907092506
1329002,"Manhattan/Ft. Riley, KS",1129806,"Dallas/Fort Worth, TX",TX,2.7740921399697767,-3.31528339322228,-2.6030463673178135,0.5320363255399899,0.6939629574969298
1463303,"Rochester, MN",1393007,"Chicago, IL",IL,2.360528353648468,-1.2997482559422016,-0.9602907715231684,1.9579179212418367,0.11934442742758036
1177502,"Sioux Falls, SD",1348702,"Minneapolis, MN",MN,1.8701516662335043,-0.2572924622908746,-0.6797361052528417,1.1090338590154851,-0.03989797602712066
1015502,"Waco, TX",1129806,"Dallas/Fort Worth, TX",TX,2.7918079761550096,2.2317447899139133,0.05736336655088669,-3.0208190619912165,0.39673533733035854
1306106,"Laredo, TX",1129806,"Dallas/Fort Worth, TX",TX,2.634956281142432,1.2533052182106788,-0.19762124657864663,-1.4083163699146894,0.12673176563825095
1219102,"Houston, TX",1125904,"Dallas, TX",TX,-5.84760272648549,1.467792329075113,0.44693352041302087,-0.4055215600961751,-0.22386807415542206
1540103,"Texarkana, AR",1129806,"Dallas/Fort Worth, TX",TX,2.845576808187251,1.81714447960978,-0.2344254291673905,-2.804343927858884,0.5506874007342709
1190502,"Longview, TX",1129806,"Dallas/Fort Worth, TX",TX,2.966746742589216,0.48284650246134286,-1.0762506570414905,-3.875333350092174,1.1139614039503989
1084905,"Bozeman, MT",1129202,"Denver, CO",CO,1.8251107217298965,1.3919879350657691,0.5059480961407826,1.4883366074049678,-0.4267852301105889
1495203,"Springfield, IL",1393007,"Chicago, IL",IL,2.793290100886189,-1.601421758556698,-1.6746642485500445,-0.3284655326934083,0.5171022767844142
1345903,"Marquette, MI",1393007,"Chicago, IL",IL,2.7305927018667737,-2.412287243710823,-1.5588988569434503,3.9711676759879797,0.14495147057004182
1043405,"Scranton/Wilkes-Barre, PA",1105703,"Charlotte, NC",NC,2.53687273684058,1.0983650870551778,-0.2468349583409177,-1.1481780870131744,0.22541201063217267
1336705,"Moline, IL",1393007,"Chicago, IL",IL,2.206461302138519,-1.4763916345356958,-1.481750844245821,0.8732359579575404,0.35873199567434444
1013603,"Abilene, TX",1129806,"Dallas/Fort Worth, TX",TX,2.7635475356034966,-0.32736177303497827,-1.3342661373730758,-2.800679313273646,0.9090371912536929
1164102,"Fayetteville, NC",1039707,"Atlanta, GA",GA,2.54668387229828,0.13426693346394442,-0.9224976575628058,-1.9106181925528067,0.5580413551161203
1337702,"Monroe, LA",1039707,"Atlanta, GA",TX,2.5756846014795594,1.449941213171465,-0.15799267165985945,-1.6753464725353266,0.15743860277027252
1104902,"College Station/Bryan, TX",1129806,"Dallas/Fort Worth, TX",TX,2.6636871288647743,2.2753933918768974,0.13427689849306093,-2.3735593695848913,0.27708180995264803
1186703,"Garden City, KS",1129806,"Dallas/Fort Worth, TX",TX,2.9294368634420684,0.5080327358386224,-1.257016845403308,-0.7614986148176593,0.6324037326410127
1114008,"Corpus Christi, TX",1129806,"Dallas/Fort Worth, TX",TX,2.167013073628878,2.259395589869902,0.3940260066666309,-1.2840290668037029,-0.10043054906816197
1348602,"Missoula, MT",1129202,"Denver, CO",CO,2.4073949619214345,3.282140026550437,1.8900725509958654,2.713868894893933,-0.8395263065055633
1141501,"Del Rio, TX",1129806,"Dallas/Fort Worth, TX",TX,2.827795069862535,4.103458467113275,1.118702799192585,-2.3862837293509314,-0.0018169961172485186
1111105,"Columbia, MO",1393007,"Chicago, IL",IL,2.728631687426195,-3.51642016759116,-2.671288438910244,-0.26806360287395914,0.8332443849549497
1177801,"Fort Smith, AR",1129806,"Dallas/Fort Worth, TX",TX,2.7236736726399084,0.9180184771246005,-0.5733240314796056,-2.2423368103262105,0.48204534289100226
1323202,"Chicago, IL",1348702,"Minneapolis, MN",FL,-8.27643081697152,0.35232538077766545,-0.2859715427691409,-1.2434719598834212,0.2946047049904984
1239103,"Islip, NY",1082106,"Baltimore, MD",FL,2.1332312373427564,-0.66016245605355806,-0.9174044148707973,0.0820359625592733,0.040815323008423145
1080003,"Burbank, CA",1483106,"San Jose, CA",CA,-1.1747258683288893,1.1762677416736034,-0.1676606916130689,-1.526356208427041,0.25605017154006704
1125904,"Dallas, TX",1219102,"Houston, TX",TX,-7.969192600484765,1.932484663684216,0.5978581881056778,-1.3022057617640148,-0.09293691975578709
1295407,"Long Beach, CA",1489302,"Sacramento, CA",CA,0.8173942831910989,0.6956572513019267,-0.2947498320207169,-0.5600862573740615,0.11275401369321912
1289607,"Lubbock, TX",1129806,"Dallas/Fort Worth, TX",TX,2.0232564402881112,1.8077840605203503,0.0035246267522072196,-1.5341301016613533,0.19087027432888382
1148102,"Panama City, FL",1039707,"Atlanta, GA",TX,2.149774688881204,0.9084264626598318,-0.2192928976236739,0.0808006668048975,0.019147260822426043
1315805,"Midland/Odessa, TX",1129806,"Dallas/Fort Worth, TX",TX,1.7486577682113649,0.5449855325096407,-0.5891205071931871,-1.8024097863215947,0.31947821786328234
