seq_ID,city_name,origin_state,DEST_STATE_ABR,n_flights_departed,flights_departed_per_day_reporting,mean_departure_delay_mins,median_departure_delay_mins,sd_departure_delay_mins,prop_dep_del10,prop_dep_del20,prop_dep_del30,prop_dep_early10,prop_dep_early20,prop_dep_early30,n_flights_received,flights_received_per_day_reporting,mean_arrival_delay_mins,median_arrival_delay_mins,sd_arrival_delay_mins,mean_net_delay_as_dest,median_net_delay_as_dest,sd_net_delay_as_dest,prop_dest_del10,prop_dest_del20,prop_dest_del30,prop_dest_early10,prop_dest_early20,prop_dest_early30,busiest_day_of_week_dep,mean_dep_on_busiest_dow,busiest_day_of_week_arr,mean_arr_on_busiest_dow,most_common_dest_apt,most_common_dest_city,most_common_origin_apt,most_common_origin_city,most_common_dest_state,most_common_origin_state
1098002,"Chattanooga, TN",TN,TN,-0.2345891655669694,-0.2349727105596171,-0.37703736404254434,-0.15275400484173188,0.14723068429764347,-0.5839501160024401,-0.5068422097781695,-0.42238776981956916,-0.2715312831683575,-0.2753570854428813,-0.14746625234205302,-0.23458205711345675,-0.23497926680738476,-0.29624814816844003,-0.12329217591766133,-0.42326707749029285,-0.07079698160406646,-0.037935986571554066,-0.05107781712193736,-0.06274983239058314,0.10180711660764138,0.0013320007421984508,0.18172171100710538,-0.42812250413941416,-0.20280524057842167,4,-0.22799230513895843,4,-0.22838107595604057,1039707,"Atlanta, GA",1039707,"Atlanta, GA",GA,GA
1295304,"New York, NY",NY,NY,3.090637679618682,3.090722772637123,0.7589431635185415,0.5712581276957922,0.03997753372401241,1.1506424368068149,1.4473560694839742,1.5608883537407703,-0.9072143724040425,-0.35399358259041774,-0.14746625234205302,3.0930805495421816,3.093169294648171,1.5771316874840262,1.1926695577844726,0.5800550585013339,0.6291807219790428,-0.037935986571554066,2.4152317767015847,2.1848827876485046,2.338939521952682,2.369824445718245,-0.39293990754263136,0.34593065078768465,0.22317393254029655,1,3.3809363657496916,1,3.3862565814892456,1393007,"Chicago, IL",1393007,"Chicago, IL",FL,FL
1069302,"Nashville, TN",TN,TN,1.1465886643236303,1.1463997744511583,-0.09367121823063046,0.5712581276957922,-0.30385076225316315,0.1954580754075135,-0.017326131548656854,-0.19663799073483887,-1.1286562848049047,-0.3590403875775917,-0.14746625234205302,1.1457929642616471,1.1455973374643689,-0.3219853774569895,-0.12329217591766133,-0.26924767530973504,-0.5458821031480792,-0.5379684190956565,0.040123254972741815,-0.17160368098948442,-0.2931483101171653,-0.29672010709599517,0.07124022688684957,-0.12595418834234984,-0.21035313904730363,1,1.1308753112549836,1,1.1312498946026721,1039707,"Atlanta, GA",1039707,"Atlanta, GA",TX,TX
1247805,"New York, NY",NY,NY,2.2314918008602866,2.2314558108866196,0.08704519395097005,0.32992075018328415,-0.16349412127125018,0.20442783897604144,0.19582891912939193,0.218188440174059,-1.0467335303731415,-0.37203399177634366,-0.14746625234205302,2.2309168785289555,2.2308797176691764,0.0821700123265596,-0.34261913153468365,0.37618581548466395,-0.6178509669200664,-0.5379684190956565,0.9238686179765987,0.21686402924722334,0.24754698214518786,0.29739941942127646,0.5011116978338033,0.7155951743426144,0.31021912787015654,1,2.172195472206745,4,2.1720505319624017,1289208,"Los Angeles, CA",1289208,"Los Angeles, CA",CA,CA
1473003,"Louisville, KY",KY,KY,0.025158510798131434,0.024811573122850098,0.09326786037959697,0.32992075018328415,0.3144254268929343,-0.053814630399205886,-0.053842625716980945,-0.10100472796006188,-0.8141017131774421,-0.3563075281359075,-0.14746625234205302,0.025411400606036326,0.02505215902476292,0.39252536295385543,0.3153617353163833,0.5142051063301972,0.04408165531695948,-0.037935986571554066,0.15179754583342978,0.2504050060099586,0.23001999619271524,0.17252242866074013,-0.3299947022700109,-0.3634218030925871,-0.29651391457883924,4,0.026634391461260332,4,0.0263886591175119,1039707,"Atlanta, GA",1039707,"Atlanta, GA",TX,TX
1087402,"Akron, OH",OH,OH,-0.29014067057083376,-0.29053204466748855,0.09033479166799555,0.20925206142703015,0.3218357284431073,-0.008807922792468502,-0.13930707994885846,-0.10955527023309218,-0.3988065833234743,-0.34234380736888603,-0.14746625234205302,-0.2901318788115728,-0.29053720071688754,0.41041476443508584,0.5346886909334057,-0.20336811972660182,0.2785202464281752,0.46209644595254834,-0.2572490529845471,0.8326669096832624,0.5073388704523094,0.41482192305561516,-0.8538115683043389,-0.6438025679322308,-0.35581855150241365,4,-0.2898091910187804,4,-0.29023268793921514,1105703,"Charlotte, NC",1105703,"Charlotte, NC",NC,NC
1161802,"Newark, NJ",NJ,NJ,2.2408772149476976,2.2408425476993648,0.5652086599542969,0.5712581276957922,0.05286917495735454,0.8050150925548935,0.9795158557333397,1.0431354354020002,-1.0640398179726882,-0.3684432183483131,-0.14746625234205302,2.2443604426842074,2.244325245053668,1.6289785465502071,1.1926695577844726,0.901706285016683,0.2132255057286011,-0.037935986571554066,1.4256381310612416,1.8557325405930696,1.9767561884291622,2.0048936158753135,-0.5231581947477623,0.07724886317670815,0.04872979675481146,4,2.2005282115683307,4,2.2118122825230135,1320402,"Orlando, FL",1320402,"Orlando, FL",FL,FL
1058102,"Bangor, ME",ME,ME,-0.37993625400173775,-0.3803402833624039,0.43858732558745933,0.08858337267077615,-0.18689153467470926,1.064077994490682,1.3341118385496018,1.5549243815159912,-0.011180488362277271,0.04182995961659304,0.32094272274953306,-0.37941743697475483,-0.379835797685586,0.6198644655219595,1.0830060799759613,-0.11341662386573123,0.07921722204882788,0.08707212155947153,0.9556504882952374,2.0182278675017598,1.4188894926674616,1.3276855291197711,-0.20137197265361867,0.6805597934668721,0.5563832435192996,1,-0.37407149379544236,1,-0.37270150391678125,1295304,"New York, NY",1295304,"New York, NY",NY,NY
1452401,"Richmond, VA",VA,VA,0.061939187627174035,0.061597433605230664,-0.056702049353557535,0.08858337267077615,-0.11841297271051433,-0.16147031968224118,-0.06447200219959594,-0.0028612397376667352,-0.474523540850718,-0.26832012334160316,-0.14746625234205302,0.06320557153306508,0.0628518492188995,0.18392243444495696,0.3153617353163833,-0.037032222003035596,-0.09739011061100587,-0.037935986571554066,0.05061175235909241,0.2814500750557391,0.2832094050290135,0.304582890056803,-0.30595217171880035,-0.13383826314122146,-0.25385978024950484,4,0.06784564871447489,1,0.07093654631967929,1039707,"Atlanta, GA",1039707,"Atlanta, GA",GA,GA
1387102,"Omaha, NE",NE,NE,0.08882713068840518,0.08848916609579852,0.012326745740236443,0.32992075018328415,0.1821768483679053,-0.08251228813083815,-0.1681020900214079,-0.16204620029517555,-0.5823430898686138,-0.2548127310141685,-0.14746625234205302,0.08831713476646001,0.08796707961634591,-0.3299833227606584,0.09603477969936099,-0.40524410501615915,-0.2870528829047695,-0.2879522028336053,0.3801790899771626,-0.026463878799044216,-0.1293035746667032,-0.1958949948995688,-0.0865890431158705,0.01668390474770367,-0.017845035186337867,3,0.08697944672489602,3,0.0941309008133698,1393007,"Chicago, IL",1393007,"Chicago, IL",IL,IL
